data,positivi,negativizzati,totale_positivi
2022-02-06,17,9,441
2022-02-05,29,53,433
2022-02-04,23,23,457
2022-02-03,39,23,457
2022-02-02,29,29,425
2022-02-01,44,25,425
2022-01-31,14,10,406
2022-01-30,31,6,402
2022-01-29,44,38,377
2022-01-28,29,14,371
2022-01-27,29,21,356
2022-01-26,48,15,348
2022-01-25,36,14,315
2022-01-24,14,5,293
2022-01-23,35,1,284
2022-01-22,19,17,250
2022-01-21,23,9,248
2022-01-20,31,4,234
2022-01-19,29,43,207
2022-01-18,32,10,221
2022-01-17,18,2,199
2022-01-16,22,2,183
2022-01-15,16,18,163
2022-01-14,15,3,165
2022-01-13,13,4,153
2022-01-12,9,4,144
2022-01-11,22,3,139
2022-01-10,10,3,120
2022-01-09,13,1,113
2022-01-08,18,7,101
2022-01-07,16,1,90
2022-01-06,15,5,75
2022-01-05,14,2,65
2022-01-04,2,0,53
2022-01-03,1,1,51
2022-01-02,3,0,51
2022-01-01,3,3,48
